Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Year
68;Oshae Brissett;SF;23;IND;67;25;23.3;3.1;7.6;0.411;1.2;3.5;0.35;1.9;4.0;0.465;0.493;1.7;2.4;0.695;1.6;3.7;5.3;1.1;0.7;0.4;0.8;1.7;9.1;2021-2022
69;Malcolm Brogdon;PG;29;IND;36;36;33.5;6.8;15.1;0.448;1.6;5.2;0.312;5.1;9.9;0.518;0.501;4.0;4.6;0.856;0.9;4.2;5.1;5.9;0.8;0.4;2.1;2.0;19.1;2021-2022
70;Armoni Brooks;SG-PG;23;TOT;54;11;15.6;1.8;5.4;0.339;1.4;4.6;0.297;0.4;0.7;0.6;0.467;0.3;0.4;0.857;0.4;1.5;1.9;1.1;0.5;0.2;0.5;1.4;5.3;2021-2022
70;Armoni Brooks;SG;23;HOU;41;8;16.8;2.1;6.1;0.347;1.6;5.2;0.3;0.6;0.9;0.605;0.474;0.4;0.5;0.842;0.3;1.7;2.0;1.2;0.5;0.2;0.6;1.5;6.2;2021-2022
70;Armoni Brooks;PG;23;TOR;13;3;11.8;0.8;2.9;0.289;0.8;2.8;0.278;0.1;0.2;0.5;0.421;0.2;0.2;1.0;0.6;1.1;1.7;1.0;0.5;0.2;0.3;1.1;2.6;2021-2022
71;Dillon Brooks;SF;26;MEM;32;31;27.7;7.1;16.4;0.432;1.4;4.7;0.309;5.7;11.8;0.48;0.475;2.8;3.3;0.849;0.9;2.3;3.2;2.8;1.1;0.3;1.6;3.3;18.4;2021-2022
72;Bruce Brown;SF;25;BRK;72;45;24.6;3.6;7.0;0.506;0.5;1.3;0.404;3.0;5.7;0.529;0.543;1.3;1.8;0.758;1.4;3.4;4.8;2.1;1.1;0.7;0.8;2.4;9.0;2021-2022
73;Charlie Brown Jr.;SG;24;TOT;22;2;8.0;0.5;1.8;0.256;0.0;0.5;0.083;0.4;1.2;0.333;0.269;0.4;0.5;0.9;0.6;0.8;1.5;0.3;0.5;0.2;0.2;0.8;1.4;2021-2022
73;Charlie Brown Jr.;SG;24;DAL;3;0;5.0;0.3;1.7;0.2;0.0;1.0;0.0;0.3;0.7;0.5;0.2;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.7;0.3;0.0;0.7;0.7;2021-2022
73;Charlie Brown Jr.;SG;24;PHI;19;2;8.5;0.5;1.8;0.265;0.1;0.5;0.111;0.4;1.3;0.32;0.279;0.5;0.5;0.9;0.7;0.9;1.6;0.3;0.4;0.2;0.3;0.8;1.5;2021-2022
